FPS: 4.45596471739, fr_cap: 0.00182414054871, t_calcs: 0.221316814423, imshow2: 0.00122213363647, tot: 0.224418294
FPS: 4.39758806543, fr_cap: 0.00178289413452, t_calcs: 0.224331140518, imshow2: 0.00122499465942, tot: 0.227397379
FPS: 4.5938349568, fr_cap: 0.00174307823181, t_calcs: 0.214667081833, imshow2: 0.00122499465942, tot: 0.217683049
FPS: 4.47853994725, fr_cap: 0.00190186500549, t_calcs: 0.220092058182, imshow2: 0.00124597549438, tot: 0.223287056
FPS: 4.4809899446, fr_cap: 0.00183200836182, t_calcs: 0.22005200386, imshow2: 0.00123405456543, tot: 0.223164973
FPS: 4.46497989906, fr_cap: 0.00202512741089, t_calcs: 0.220550775528, imshow2: 0.00134015083313, tot: 0.223965174
FPS: 4.52382832247, fr_cap: 0.0016930103302, t_calcs: 0.218089818954, imshow2: 0.00122404098511, tot: 0.221051713
FPS: 4.59736145197, fr_cap: 0.00189900398254, t_calcs: 0.214332818985, imshow2: 0.00123310089111, tot: 0.217516071
FPS: 4.59479029168, fr_cap: 0.00172114372253, t_calcs: 0.214617013931, imshow2: 0.00124216079712, tot: 0.217637789
FPS: 4.5039003935, fr_cap: 0.00170302391052, t_calcs: 0.219022035599, imshow2: 0.00124406814575, tot: 0.222029777
FPS: 4.38747772615, fr_cap: 0.00188302993774, t_calcs: 0.22475194931, imshow2: 0.00122594833374, tot: 0.227921385
FPS: 4.36963029515, fr_cap: 0.00160098075867, t_calcs: 0.225880146027, imshow2: 0.00132393836975, tot: 0.228852313
