FPS: 5.52516707525, fr_cap: 0.00523900985718, t_calcs: 0.174217939377, imshow2: 0.00146913528442, tot: 0.180990002
FPS: 5.36877319216, fr_cap: 0.00517988204956, t_calcs: 0.179481983185, imshow2: 0.00153493881226, tot: 0.186262292
FPS: 5.18736408944, fr_cap: 0.00549793243408, t_calcs: 0.18571305275, imshow2: 0.00150084495544, tot: 0.192776135
FPS: 5.62498319185, fr_cap: 0.00523519515991, t_calcs: 0.171033859253, imshow2: 0.00144004821777, tot: 0.177778309
FPS: 5.37782110748, fr_cap: 0.00536394119263, t_calcs: 0.178819179535, imshow2: 0.00170087814331, tot: 0.185948915
FPS: 5.26168124543, fr_cap: 0.00699019432068, t_calcs: 0.181532859802, imshow2: 0.00145196914673, tot: 0.190053322
FPS: 5.60363587207, fr_cap: 0.00520515441895, t_calcs: 0.17172908783, imshow2: 0.00145101547241, tot: 0.178455564
FPS: 5.33952929465, fr_cap: 0.00552201271057, t_calcs: 0.180160045624, imshow2: 0.00153112411499, tot: 0.187282426
FPS: 5.12662586453, fr_cap: 0.00567102432251, t_calcs: 0.187863111496, imshow2: 0.00146079063416, tot: 0.19506007
FPS: 5.47082939814, fr_cap: 0.00529503822327, t_calcs: 0.175630092621, imshow2: 0.00179600715637, tot: 0.182787641
FPS: 5.39524697194, fr_cap: 0.00527691841125, t_calcs: 0.178560972214, imshow2: 0.00144195556641, tot: 0.185348327
FPS: 5.34755883805, fr_cap: 0.00513195991516, t_calcs: 0.18035197258, imshow2: 0.00144982337952, tot: 0.187001215
FPS: 5.63644724742, fr_cap: 0.00546908378601, t_calcs: 0.170074939728, imshow2: 0.00180888175964, tot: 0.177416723
